id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
1,1A,1,1,I,16.25416667,82.11666667,1797375.256,619328.0963,1797380.202,619344.5565,-634050871
2,1B,1,2,I,16.25416667,81.63055556,1797153.533,567379.3187,1797158.439,567395.7711,-634050871
3,1C,1,3,I,16.33777778,81.63055556,1806402.857,567350.755,1806407.764,567367.2003,-634050871
4,1D,1,4,I,16.35383472,81.5,1808140.398,553401.1833,1808145.295,553417.6254,-634050871
5,1E,1,5,I,15.97387778,81.5,1766109.685,553503.2939,1766114.575,553519.7677,-634050871
6,1F,1,6,I,15.78833333,81.25,1745537.671,526775.9348,1745542.539,526792.4202,-634050871
7,1G,1,7,I,15.97388889,81.25,1766062.728,526751.4279,1766067.599,526767.8982,-634050871
8,1H,1,8,I,16.07777778,81.44497222,1777589.48,547590.2096,1777594.368,547606.674,-634050871
9,1I,1,9,I,16.07777778,81.25,1777554.456,526737.5851,1777559.328,526754.0468,-634050871
10,1J,1,10,I,16.25277778,81.25,1796912.431,526714.0691,1796917.305,526730.5162,-634050871
11,1K,1,11,I,15.97083333,81.15833333,1765715.12,516942.8005,1765719.984,516959.2698,-634050871
12,1L,1,12,I,15.41277778,81.33888889,1704010.029,536362.4273,1704014.898,536378.9442,-634050871
13,1M,1,13,I,15.50833333,82.11666667,1714862.836,619768.2049,1714867.768,619784.727,-634050871
14,1N,1,14,I,15.95666667,82.11666667,1764461.825,619506.0654,1764466.765,619522.5506,-634050871
15,1O,1,15,I,15.76916667,81.71666667,1743532.19,576766.3993,1743537.094,576782.8933,-634050871
16,1P,1,16,I,16.05222222,81.6,1774804.394,564179.2228,1774809.294,564195.6916,-634050871
17,1Q,1,17,I,16.1525,81.79333333,1785967.108,584817.5802,1785972.025,584834.0437,-634050871
18,1R,1,18,I,16.11083333,81.92416667,1781415.939,598826.9724,1781420.866,598843.4414,-634050871
19,1S,1,19,I,16.22333333,82.11666667,1793964.019,619346.6901,1793968.964,619363.1529,-634050871
20,1A,1,1,I,15.48333333,82,1712035.861,607266.8797,1712035.861,607266.8797,1027067113
21,1B,1,2,I,14.5,82,1603260.441,607758.0231,1603260.441,607758.0231,1027067113
22,1C,1,3,I,14.5,82.5,1603554.853,661646.0683,1603554.853,661646.0683,1027067113
23,1D,1,4,I,16.52833333,82.49944444,1827973.879,660014.9817,1827973.879,660014.9817,1027067113
24,1E,1,5,I,16.47833333,82.41666667,1822377.489,651218.5566,1822377.489,651218.5566,1027067113
25,1F,1,6,I,16.52861111,82.41666667,1827940.636,651179.4737,1827940.636,651179.4737,1027067113
26,1G,1,7,I,16.33055556,82.25361111,1805912.121,633912.1455,1805912.121,633912.1455,1027067113
27,1H,1,8,I,16.16666667,82.25,1787777.189,633637.0571,1787777.189,633637.0571,1027067113
28,1I,1,9,I,16.16666667,82.11666667,1787695.197,619380.8105,1787695.197,619380.8105,1027067113
29,1J,1,10,I,15.5,82.11666667,1713941.374,619773.0462,1713941.374,619773.0462,1027067113
30,1A,1,1,I,16.4365,82.07147222,1817522.233,614391.9447,1817522.233,614391.9447,605803028
31,1B,1,2,I,16.53013889,82.1635,1827936.554,624158.3609,1827936.554,624158.3609,605803028
32,1C,1,3,I,16.55008333,82.24491667,1830195.217,632833.8867,1830195.217,632833.8867,605803028
33,1D,1,4,I,16.55738889,82.31036111,1831047.907,639812.6095,1831047.907,639812.6095,605803028
34,1E,1,5,I,16.54369444,82.31786111,1829537.919,640622.8911,1829537.919,640622.8911,605803028
35,1F,1,6,I,16.43425,82.27119444,1817396.664,635718.8711,1817396.664,635718.8711,605803028
36,1G,1,7,I,16.34577778,82.1205,1807513.39,619682.1733,1807513.39,619682.1733,605803028
37,1A,1,1,I,21.43333333,72.63166667,2371767.345,254561.8195,2372039.649,254476.4915,-2059557770
38,1B,1,2,I,21.43333333,72.5,2371979.404,240910.546,2372251.716,240825.1708,-2059557770
39,1C,1,3,I,21.63083333,72.30583333,2394188.186,221155.1848,2394460.585,221069.753,-2059557770
40,1D,1,4,I,21.5,72.2725,2379757.016,217449.5458,2380029.367,217364.0937,-2059557770
41,1E,1,5,I,21.25666667,72.08694444,2353149.381,197715.44,2353421.651,197629.9046,-2059557770
42,1F,1,6,I,21.19166667,72.125,2345876.95,201535.9971,2346149.192,201450.4707,-2059557770
43,1G,1,7,I,21,71.75,2325394.353,162142.6032,2325666.548,162056.9258,-2059557770
44,1H,1,8,I,21,72.75,2323603.946,266147.6025,2323876.074,266062.2924,-2059557770
45,1I,1,9,I,21.35333333,72.63416667,2362904.411,254687.5011,2363176.684,254602.1693,-2059557770
46,2A,2,1,E,21.26666667,72.63083333,2353312.407,254197.4217,2353584.646,254112.0835,-2059557770
47,2B,2,2,E,21.24833333,72.63083333,2351282.238,254166.9682,2351554.471,254081.629,-2059557770
48,2C,2,3,E,21.24833333,72.65916667,2351238.401,257108.156,2351510.632,257022.8271,-2059557770
49,2D,2,4,E,21.26666667,72.65916667,2353268.539,257138.2444,2353540.777,257052.9166,-2059557770
50,3A,3,1,E,21.07,72.58055556,2331612.975,248646.4983,2331885.14,248561.1298,-2059557770
51,3B,3,2,E,21.02972222,72.6,2327122.196,250600.3016,2327394.344,250514.9378,-2059557770
52,3C,3,3,E,21.07388889,72.68555556,2331881.428,259565.6247,2332153.589,259480.2951,-2059557770
53,3D,3,4,E,21.11444444,72.66388889,2336405.134,257379.8084,2336677.313,257294.4732,-2059557770
54,4A,4,1,E,21.06666667,72.33333333,2331654.108,222943.4573,2331926.287,222857.9979,-2059557770
55,4B,4,2,E,21.085,72.4,2333569.935,229906.6228,2333842.118,229821.189,-2059557770
56,4C,4,3,E,21.085,72.46666667,2333458.195,236835.5068,2333730.373,236750.0974,-2059557770
57,4D,4,4,E,21.06333333,72.46666667,2331058.728,236797.3332,2331330.898,236711.9225,-2059557770
58,4F,4,6,E,21.06666667,72.33333333,2331654.108,222943.4573,2331926.287,222857.9979,-2059557770
59,1J,1,10,I,21.43333333,72.63166667,2371767.345,254561.8195,2372039.649,254476.4915,-2059557770
60,2E,2,5,E,21.26666667,72.63083333,2353312.407,254197.4217,2353584.646,254112.0835,-2059557770
61,3E,3,5,E,21.07,72.58055556,2331612.975,248646.4983,2331885.14,248561.1298,-2059557770
62,4E,4,5,E,21.02333333,72.33333333,2326854.808,222863.1862,2327126.97,222777.7238,-2059557770
63,1T,1,20,i,16.25416667,82.11666667,1797375.256,619328.0963,1797380.202,619344.5565,-634050871
64,1H,1,8,i,16.4365,82.07147222,1817522.233,614391.9447,1817522.233,614391.9447,605803028
65,1K,1,11,i,15.48333333,82,1712035.861,607266.8797,1712035.861,607266.8797,1027067113
66,1F,1,6,i,32.05,30.51666667,1037387.948,569352.4338,3548692.909,265692.2317,1031837429
67,2E,2,5,e,32.06666667,30.48333333,1039250.71,566213.1357,3550614.039,262587.2057,2005899409
68,2F,2,6,e,32.05,30.48333333,1037402.527,566204.2895,3548765.849,262544.0885,2005899409
69,2G,2,7,e,32.05,30.51666667,1037387.948,569352.4338,3548692.909,265692.2317,2005899409
70,2H,2,8,e,32.06666667,30.51666667,1039236.127,569360.7093,3550541.078,265734.7766,2005899409
71,2I,2,9,e,32.06666667,30.6,1039203.923,577229.6146,3550362.94,273603.5524,2005899409
72,2J,2,10,e,32.01666667,30.6,1033659.429,577209.0784,3544818.595,273480.2669,2005899409
73,2K,2,11,e,32.01666667,30.66666667,1033638.059,583507.5998,3544680.588,279778.5666,2005899409
74,2L,2,12,e,32.06666667,30.66666667,1039182.535,583524.7132,3550224.816,279898.4211,2005899409
75,2N,2,14,e,32.16666667,30.65,1050276.609,581986.9542,3561347.604,278566.648,2005899409
76,2O,2,15,e,32.16666667,30.58333333,1050299.007,575698.7105,3561486.938,272278.6226,2005899409
77,2P,2,16,e,32.15,30.58333333,1048450.807,575691.5565,3559638.785,272237.1063,2005899409
78,2Q,2,17,e,32.15,30.48333333,1048491.697,566257.4291,3559855.048,262803.0933,2005899409
79,2R,2,18,e,32.13333333,30.48333333,1046643.49,566248.5622,3558006.838,262759.8756,2005899409
80,2S,2,19,e,32.13333333,30.45,1046659.063,563103.2672,3558080.857,259614.5613,2005899409
81,2M,2,13,e,32.06666667,30.65,1039187.517,581950.9405,3550258.981,278324.7164,2005899409
82,1B,1,2,i,31.8,30.2,1009842.832,539240.0146,3521700.001,235066.3282,1031843286
83,1C,1,3,i,31.8,30.35,1009748.108,553445.3165,3521343.688,249272.5987,1031843286
84,1D,1,4,i,31.76666667,30.35,1006051.861,553423.2293,3517647.263,249182.4851,1031843286
85,1E,1,5,i,31.76666667,30.43333333,1006007.732,561317.8112,3517457.917,257077.3623,1031843286
86,1F,1,6,i,31.73333333,30.43333333,1002311.53,561298.5742,3513761.617,256990.1713,1031843286
87,1G,1,7,i,31.73333333,30.48333333,1002287.968,566036.9959,3513650.984,261728.6886,1031843286
88,1H,1,8,i,31.6,30.48333333,987503.4095,565967.004,3498866.199,261387.5411,1031843286
89,1I,1,9,i,31.6,30.6,987456.999,577039.0645,3498617.12,272459.6135,1031843286
90,1J,1,10,i,31.65,30.6,993001.1316,577059.3603,3504161.165,272581.4568,1031843286
91,1K,1,11,i,31.65,30.7,992970.7274,586544.566,3503956.915,282066.3763,1031843286
92,1L,1,12,i,31.7,30.7,998514.8766,586559.8093,3509500.817,282183.2995,1031843286
93,1M,1,13,i,31.7,30.75,998502.9217,591299.856,3509401.87,286923.0995,1031843286
94,1N,1,14,i,31.63333333,30.75,991110.7465,591282.9231,3502010.125,286770.633,1031843286
95,1O,1,15,i,31.63333333,30.8,991100.9767,596026.3483,3501913.47,291513.7535,1031843286
96,1P,1,16,i,31.65,30.8,992949.0104,596029.7325,3503761.372,291550.9952,1031843286
97,1A,1,1,I,32.43035181,34.58484171,204250,111250,3589293.269,649073.2759,2136970423
98,1A,1,1,I,32.51017873,34.81576359,213000,133000,3598489.672,670635.9856,719462222
99,1B,1,2,I,32.37942698,34.81632448,198500,133000,3583993.634,670935.3172,719462222
100,1A,1,1,i,32.5,29.7,1087932.328,492824.5564,3600678.206,190088.473,2005899409
101,1B,1,2,i,32.5,31.3,1087227.191,643193.3575,3597150.382,340455.2506,2005899409
102,1C,1,3,i,32.1,31.3,1042869.635,643317.4648,3552802.503,339751.9245,2005899409
103,1Q,1,17,i,31.65,30.85,992941.4095,600772.3051,3503666.865,296293.1959,1031843286
104,1R,1,18,i,31.75,30.85,1004029.7,600787.5591,3514754.197,296511.9218,1031843286
105,1S,1,19,i,31.75,30.81666667,1004034.534,597629.2344,3514817.07,293353.8591,1031843286
106,1T,1,20,i,31.76666667,30.81666667,1005882.601,597632.3469,3516664.991,293390.9408,1031843286
107,1U,1,21,i,31.76666667,30.8,1005885.382,596053.4666,3516696.8,291812.1812,1031843286
108,1V,1,22,i,32,30.8,1031758.835,596101.1706,3542568.264,292337.1455,1031843286
109,1W,1,23,i,32,30.2,1032021.038,539403.6647,3543880.095,235639.5786,1031843286
110,1B,1,2,I,32.64082453,34.78322657,227499.9999,130000,3612923.406,667336.3827,1032188321
111,1D,1,4,i,32.00482478,34.71207717,156999.9999,123000,3542300.811,661788.7615,1032182007
112,1E,1,5,i,32.04991394,34.71183586,161999.9999,123000,3547299.234,661686.737,1032182007
113,1F,1,6,i,32.04974226,34.6694823,161999.9999,119000,3547217.562,657687.9259,1032182007
114,1G,1,7,i,32.20755073,34.6685605,179499.9999,119000,3564711.644,657329.8436,1032182007
115,1H,1,8,i,32.23016097,34.68434207,181999.9999,120500,3567241.574,658778.1021,1032182007
116,1I,1,9,i,32.23028796,34.71616984,181999.9999,123500,3567303.136,661777.211,1032182007
117,1J,1,10,i,32.37942698,34.81632448,198499.9998,133000,3583993.634,670935.3172,1032182007
118,1K,1,11,i,32.44850031,34.81602863,206159.9998,133000,3591651.546,670777.3213,1032182007
119,1B,1,2,I,32.4486741,34.87717886,206159.9999,138750,3591770.263,676525.915,1032182007
120,1C,1,3,I,32.44653285,34.67246807,205999.9999,119500,3591212.895,657284.4645,1032188321
121,1D,1,4,I,32.44644121,34.65119907,205999.9999,117500,3591171.61,655285.0948,1032188321
122,1E,1,5,I,32.30179161,34.57244579,189999.9999,110000,3575023.023,648117.1876,1032188321
123,1F,1,6,I,32.30189615,34.59368085,189999.9999,112000,3575064.142,650116.5067,1032188321
124,1G,1,7,I,32.22957288,34.55703195,182000,108500,3566995.341,646782.0119,1032188321
125,1H,1,8,I,32.2294624,34.53581377,182000,106500,3566954.305,644782.7153,1032188321
126,1I,1,9,I,32.06667501,34.45227562,164000,98500,3548798.149,637154.1235,1032188321
127,1J,1,10,I,32.06624772,34.38343969,164000.0001,92000,3548665.391,630656.6628,1032188321
128,1L,1,12,I,32.29229041,34.48226886,189000,101500,3573848.702,639640.7964,1032188321
129,1M,1,13,I,32.29241009,34.50350159,189000,103500,3573889.809,641640.0553,1032188321
130,1A,1,1,I,32.64053087,34.70329568,227499.9999,122500,3612767.753,659838.5477,1032188321
131,1C,1,3,I,32.3793248,34.78444441,198499.9999,130000,3583931.814,667936.1021,719462222
132,1D,1,4,I,32.39285091,34.7843818,199999.9999,130000,3585431.383,667905.1874,719462222
133,1E,1,5,I,32.39268243,34.7365547,199999.9999,125500,3585338.622,663406.4355,719462222
134,1F,1,6,I,32.3791564,34.73662443,198499.9999,125500,3583839.087,663437.3489,719462222
135,1G,1,7,I,32.37903406,34.70474456,198499.9999,122500,3583777.271,660438.2256,719462222
136,1H,1,8,I,32.29319386,34.66274877,188999.9999,118500,3574198.13,656634.9548,719462222
137,1I,1,9,I,32.29328537,34.68451276,188999.9999,120550,3574240.269,658684.3233,719462222
138,1J,1,10,I,32.19388563,34.63682472,177999.9999,116000,3563150.655,654361.5393,719462222
139,1K,1,11,I,32.07665724,34.63755038,164999.9999,116000,3550155.253,654627.586,719462222
140,1L,1,12,I,32.07679542,34.66932479,164999.9999,119000,3550216.551,657626.6518,719462222
141,1M,1,13,I,32.04974226,34.6694823,161999.9999,119000,3547217.562,657687.9259,719462222
142,1N,1,14,I,32.04969713,34.65889394,161999.9999,118000,3547197.144,656688.2328,719462222
143,1O,1,15,I,32.01813502,34.65908107,158499.9999,118000,3543698.339,656759.6602,719462222
144,1P,1,16,I,32.01792125,34.6114499,158499.9999,113500,3543606.543,652261.0862,719462222
145,1Q,1,17,I,32.07653599,34.61107178,164999.9999,113500,3550104.172,652128.3907,719462222
146,1R,1,18,I,32.07597223,34.50092161,165000,103100,3549891.686,641731.9854,719462222
147,1S,1,19,I,32.43756233,34.68368617,204999.9999,120550,3590234.907,658354.7796,719462222
148,1T,1,20,I,32.43790182,34.77353927,204999.9999,129000,3590409.304,666802.3266,719462222
149,1U,1,21,I,32.51003999,34.77319543,212999.9999,129000,3598406.95,666637.0515,719462222
150,1V,1,22,I,32.51017873,34.81576359,212999.9999,133000,3598489.672,670635.9856,719462222
151,1B,1,2,I,32.29241009,34.50350159,189000,103500,3573889.809,641640.0553,2136970423
152,1C,1,3,I,32.29229041,34.48226886,189000,101500,3573848.702,639640.7964,2136970423
153,1D,1,4,i,32.1,31,1042830.24,615000,3553288.466,311439.4253,2005899409
154,1D,1,4,I,32.09789296,34.39639965,167500.0001,93250,3552189.278,631834.6531,2136970423
155,1E,1,5,I,32.11783225,34.34324065,169750,88250,3554335.955,626790.6801,2136970423
156,1F,1,6,I,32.13593794,34.35366932,171750.0001,89250,3556355.427,627749.3544,2136970423
157,1G,1,7,I,32.15144415,34.3137731,173500.0002,85500,3558027.798,623965.1043,2136970423
158,1H,1,8,I,32.2080198,34.34504354,179750.0002,88500,3564336.117,626835.8077,2136970423
159,1I,1,9,I,32.21245569,34.33439416,180250.0002,87500,3564815.362,625825.9725,2136970423
160,1J,1,10,I,32.47262919,34.48083256,209000,101500,3593840.045,639228.7321,2136970423
161,1K,1,11,I,32.43035181,34.58484171,204249.9999,111250,3589293.269,649073.2759,2136970423
162,1A,1,1,I,32.44850032,34.81602863,206159.9999,133000,3591651.546,670777.3213,1032182007
163,1A,1,1,i,32,30.2,1032021.038,539403.6647,3543880.095,235639.5786,1031843286
164,1N,1,14,i,32.64053087,34.70329568,227499.9999,122500,3612767.753,659838.5477,1032188321
165,1C,1,3,i,32.00489334,34.73006866,156999.9999,124700,3542335.479,663488.277,1032182007
166,1E,1,5,i,32,31,1031741.356,615000,3542201.072,311233.9628,2005899409
167,1F,1,6,i,32,29.7,1032479.958,492153.062,3545214.476,188381.942,2005899409
168,1G,1,7,i,32.5,29.7,1087932.328,492824.5564,3600678.206,190088.473,2005899409
169,2A,2,1,e,32.13333333,30.45,1046659.063,563103.2672,3558080.857,259614.5613,2005899409
170,2B,2,2,e,32.1,30.45,1042962.655,563084.4022,3554384.408,259527.0396,2005899409
171,2C,2,3,e,32.1,30.46666667,1042954.751,564657.6224,3554347.297,261100.2744,2005899409
172,2D,2,4,e,32.06666667,30.46666667,1039258.367,564639.3463,3550650.885,261013.407,2005899409
173,1A,1,1,I,32.13333333,30.45,1046659.063,563103.2672,3558080.857,259614.5613,1031837429
174,1B,1,2,I,32.1,30.45,1042962.655,563084.4022,3554384.408,259527.0396,1031837429
175,1C,1,3,I,32.1,30.46666667,1042954.751,564657.6224,3554347.297,261100.2744,1031837429
176,1D,1,4,I,32.06666667,30.46666667,1039258.367,564639.3463,3550650.885,261013.407,1031837429
177,1E,1,5,I,32.06666667,30.48333333,1039250.71,566213.1357,3550614.039,262587.2057,1031837429
178,1F,1,6,I,32.05,30.48333333,1037402.527,566204.2895,3548765.849,262544.0885,1031837429
179,1G,1,7,I,32.06666667,30.51666667,1039236.127,569360.7093,3550541.078,265734.7766,1031837429
180,1H,1,8,I,32.06666667,30.6,1039203.923,577229.6146,3550362.94,273603.5524,1031837429
181,1I,1,9,I,32.01666667,30.6,1033659.429,577209.0784,3544818.595,273480.2669,1031837429
182,1J,1,10,I,32.01666667,30.66666667,1033638.059,583507.5998,3544680.588,279778.5666,1031837429
183,1K,1,11,I,32.06666667,30.66666667,1039182.535,583524.7132,3550224.816,279898.4211,1031837429
184,1L,1,12,I,32.06666667,30.65,1039187.517,581950.9405,3550258.981,278324.7164,1031837429
185,1M,1,13,I,32.16666667,30.65,1050276.609,581986.9542,3561347.604,278566.648,1031837429
186,1N,1,14,I,32.16666667,30.58333333,1050299.007,575698.7105,3561486.938,272278.6226,1031837429
187,1O,1,15,I,32.15,30.58333333,1048450.807,575691.5565,3559638.785,272237.1063,1031837429
188,1P,1,16,I,32.15,30.48333333,1048491.697,566257.4291,3559855.048,262803.0933,1031837429
189,1Q,1,17,I,32.13333333,30.48333333,1046643.49,566248.5622,3558006.838,262759.8756,1031837429
190,1R,1,18,I,32.13333333,30.45,1046659.063,563103.2672,3558080.857,259614.5613,1031837429
191,1A,1,1,I,32.09789296,34.39639965,167500.0001,93250,3552189.278,631834.6531,1032242202
192,1B,1,2,I,32.06624772,34.38343969,164000.0001,92000,3548665.391,630656.6628,1032242202
193,1C,1,3,I,32.0658936,34.33048942,164000.0002,87000,3548563.273,625658.7089,1032242202
194,1D,1,4,I,31.99375671,34.33117431,156000.0002,87000,3540567.276,625821.9173,1032242202
195,1E,1,5,I,31.96640708,34.28911619,153000.0003,83000,3537487.308,621884.7211,1032242202
196,1F,1,6,I,31.88478058,34.22650462,144000.0004,77000.00001,3528370.06,616070.4018,1032242202
197,1G,1,7,I,31.77175667,34.1881064,131500.0001,73250,3515800.953,612575.6411,1032242202
198,1H,1,8,I,31.76285734,34.18039213,130520.0005,72510.00001,3514806.524,611855.8211,1032242202
199,1I,1,9,I,31.87970299,33.97415736,143680.0013,53120.00002,3527565.08,592208.2515,1032242202
200,1J,1,10,I,31.89620235,33.98324092,145500.0013,54000.00002,3529401.743,593050.832,1032242202
201,1K,1,11,I,31.94621637,34.02753308,151000.0011,58250.00002,3534984.57,597186.8671,1032242202
202,1L,1,12,I,31.88440576,34.17894363,144000.0006,72500.00001,3528278.624,611572.4261,1032242202
203,1M,1,13,I,31.99310575,34.24123034,156000.0004,78500.00001,3540394.031,617325.5602,1032242202
204,1N,1,14,I,31.99751309,34.22795562,156500.0004,77250.00001,3540868.28,616065.9239,1032242202
205,1O,1,15,I,32.15144415,34.3137731,173500.0003,85500,3558027.798,623965.1043,1032242202
206,1P,1,16,I,32.13593794,34.35366932,171750.0002,89250,3556355.427,627749.3544,1032242202
207,1Q,1,17,I,32.11783225,34.34324065,169750.0002,88250,3554335.955,626790.6801,1032242202
208,1R,1,18,I,32.09789296,34.39639965,167500.0001,93250,3552189.278,631834.6531,1032242202
209,1A,1,1,I,31.98167198,34.57465024,154499.9999,110000,3539536.675,648843.7964,1032240223
210,1B,1,2,I,31.74212572,34.4691584,128000,99850,3512841.273,639235.543,1032240223
211,1C,1,3,I,31.74256601,34.54989007,127999.9999,107500,3512996.114,646882.8228,1032240223
212,1D,1,4,I,31.76972668,34.57081222,130999.9999,109500,3516035.458,648821.4012,1032240223
213,1E,1,5,I,31.76993465,34.61409315,131000,113600,3516118.513,652920.0578,1032240223
214,1F,1,6,I,31.59434217,34.48981508,111600,101700,3496485.57,641416.0963,1032240223
215,1G,1,7,I,31.61754619,34.44747979,114200,97700,3499003.811,637365.1448,1032240223
216,1H,1,8,I,31.68826321,34.51335546,122000,104000,3506927.712,643505.3865,1032240223
217,1I,1,9,I,31.68714041,34.33036647,122000.0001,86650,3506577.093,626162.0292,1032240223
218,1J,1,10,I,31.70494341,34.29696864,124000.0001,83500,3508512.417,622972.9187,1032240223
219,1K,1,11,I,31.74128546,34.33566276,128000.0002,87200,3512585.247,626590.4762,1032240223
220,1L,1,12,I,31.74155256,34.37576396,128000.0001,91000,3512662.154,630388.9396,1032240223
221,1M,1,13,I,31.78664053,34.37536199,133000.0001,91000,3517659.78,630287.6887,1032240223
222,1N,1,14,I,31.78694104,34.42287358,133000,95500,3517750.972,634785.9253,1032240223
223,1O,1,15,I,31.80948517,34.42268379,135500,95500,3520249.841,634735.2497,1032240223
224,1P,1,16,I,31.8096446,34.44908565,135500,98000,3520300.537,637234.2978,1032240223
225,1Q,1,17,I,31.8682593,34.4486079,142000,98000,3526797.676,637102.388,1032240223
226,1R,1,18,I,31.94963239,34.48496269,151000,101500,3535864.956,640418.0787,1032240223
227,1S,1,19,I,31.94983676,34.52198146,151000,105000,3535936.211,643916.8144,1032240223
228,1T,1,20,I,31.9813984,34.52174792,154500,105000,3539434.788,643845.53,1032240223
229,1U,1,21,I,31.98167198,34.57465024,154500,110000,3539536.675,648843.7964,1032240223
230,NULL,1,1,I,32.0658936,34.33048942,164000.0001,87000,3548563.273,625658.7089,1521252020
231,NULL,1,2,I,32.06685961,34.48404627,164000,101500,3548859.424,640152.9992,1521252020
232,NULL,1,3,I,32.03078993,34.48432881,160000,101500,3544861.129,640234.6545,1521252020
233,NULL,1,4,I,32.03144778,34.61136274,160000,113500,3545105.997,652230.4834,1521252020
234,NULL,1,6,I,31.98071892,34.405364,154500,94000,3539210.65,632849.6514,1521252020
235,NULL,1,7,I,31.886036,34.40618274,144000,94000,3528715.507,633063.2956,1521252020
236,NULL,1,8,I,31.88502058,34.25821216,144000.0001,80000,3528431.018,619069.0843,1521252020
237,NULL,1,9,I,31.7494828,34.22265237,129000.0002,76500,3513368.155,615874.803,1521252020
238,NULL,1,10,I,31.74915049,34.1804375,129000.0002,72500,3513287.187,611876.5954,1521252020
239,NULL,1,11,I,31.88478058,34.22650462,144000.0002,77000,3528370.059,616070.4018,1521252020
240,NULL,1,12,I,31.96640708,34.28911619,153000.0001,83000,3537487.307,621884.7211,1521252020
241,NULL,1,11,I,32.09789296,34.39639965,167500,93250,3552189.278,631834.6531,1032188321
242,NULL,1,5,I,31.98185037,34.61168204,154500,113500,3539607.998,652342.6372,1521252020
243,NULL,1,13,I,31.99375671,34.33117431,156000.0001,87000,3540567.276,625821.9173,1521252020
244,NULL,1,14,I,32.0658936,34.33048942,164000.0001,87000,3548563.273,625658.7089,1521252020
245,NULL,1,1,I,21.07,72.58055556,2331612.975,248646.4983,2331885.14,248561.1298,1032418716
246,NULL,1,2,I,21.02972222,72.6,2327122.196,250600.3016,2327394.344,250514.9378,1032418716
247,NULL,1,3,I,21.07388889,72.68555556,2331881.428,259565.6247,2332153.589,259480.2951,1032418716
248,NULL,1,4,I,21.11444444,72.66388889,2336405.134,257379.8084,2336677.313,257294.4732,1032418716
249,NULL,1,5,I,21.07,72.58055556,2331612.975,248646.4983,2331885.14,248561.1298,1032418716
250,NULL,1,1,I,21.06666667,72.33333333,2331654.108,222943.4573,2331926.287,222857.9979,1032421849
251,NULL,1,2,I,21.085,72.4,2333569.935,229906.6228,2333842.118,229821.189,1032421849
252,NULL,1,3,I,21.085,72.46666667,2333458.195,236835.5068,2333730.373,236750.0974,1032421849
253,NULL,1,4,I,21.06333333,72.46666667,2331058.728,236797.3332,2331330.898,236711.9225,1032421849
254,NULL,1,5,I,21.02333333,72.33333333,2326854.808,222863.1862,2327126.97,222777.7238,1032421849
255,NULL,1,6,I,21.06666667,72.33333333,2331654.108,222943.4573,2331926.287,222857.9979,1032421849
256,NULL,1,1,I,21.26666667,72.63083333,2353312.407,254197.4217,2353584.646,254112.0835,1032423156
257,NULL,1,2,I,21.24833333,72.63083333,2351282.238,254166.9682,2351554.471,254081.629,1032423156
258,NULL,1,3,I,21.24833333,72.65916667,2351238.401,257108.156,2351510.632,257022.8271,1032423156
259,NULL,1,4,I,21.26666667,72.65916667,2353268.539,257138.2444,2353540.777,257052.9166,1032423156
260,NULL,1,5,I,21.26666667,72.63083333,2353312.407,254197.4217,2353584.646,254112.0835,1032423156
261,NULL,1,1,I,26.26388889,71.0625,946891.0124,2450183.255,2910681.515,106664.0927,1032426399
262,NULL,1,2,I,24.76388889,71.63611111,779793.3796,2504392.692,2742807.677,159787.1402,1032426399
263,NULL,1,3,I,24.50305556,71.4625,751265.4118,2486295.783,2714340.244,141473.8287,1032426399
264,NULL,1,4,I,24.50305556,71.83,750595.3639,2523498.892,2713434.537,178737.7863,1032426399
265,NULL,1,5,I,25.06277778,72.27416667,811853.0911,2569283.253,2774482.755,225001.664,1032426399
266,NULL,1,6,I,25.58166667,72.01388889,869629.2874,2543928.628,2832535.399,200019.5522,1032426399
267,NULL,1,7,I,25.51583333,71.88,862557.4753,2530378.231,2825549.614,186393.3286,1032426399
