id,corner_index,outline,point,type,latitude,longitude,northing,easting,northingWGS84,eastingWGS84,license_id
527,NULL,1,3,I,22.2975,72.595,2467730.487,252222.8162,2467730.487,252222.8162,2136970651
528,NULL,1,4,I,22.31555556,72.595,2469730.321,252254.6969,2469730.321,252254.6969,2136970651
529,NULL,1,5,I,22.31555556,72.68055556,2469592.217,261071.5112,2469592.217,261071.5112,2136970651
530,NULL,1,6,I,22.41666667,72.68055556,2480790.864,261244.1145,2480790.864,261244.1145,2136970651
531,NULL,1,7,I,22.41666667,72.54805556,2481007.649,247599.22,2481007.649,247599.22,2136970651
532,NULL,1,1,I,17.84088361,55.66936917,1973083.354,358999.7717,1973083.354,358999.7717,2136970653
533,NULL,1,2,I,17.91722889,55.66937,1981531.655,359060.1068,1981531.655,359060.1068,2136970653
534,NULL,1,3,I,17.91723056,55.50269528,1981665.923,341402.8783,1981665.923,341402.8783,2136970653
535,NULL,1,4,I,18.50052556,56.12820778,2045785.362,407970.812,2045785.362,407970.812,2136970653
536,NULL,1,5,I,18.50051917,56.68392667,2045591.681,466635.1813,2045591.681,466635.1813,2136970653
537,NULL,1,1,I,21.26666667,72.63083333,2353505.083,254163.331,2353505.083,254163.331,2136970657
538,NULL,1,2,I,21.24833333,72.63083333,2351474.733,254132.8748,2351474.733,254132.8748,2136970657
539,NULL,1,3,I,21.24833333,72.65916667,2351430.89,257074.4706,2351430.89,257074.4706,2136970657
540,NULL,1,4,I,21.26666667,72.65916667,2353461.209,257104.5617,2353461.209,257104.5617,2136970657
541,NULL,1,5,I,21.26666667,72.63083333,2353505.083,254163.331,2353505.083,254163.331,2136970657
542,NULL,1,1,E,23.48666667,72.40944444,2599565.251,235452.1677,2599838.312,235366.8752,2136970661
543,NULL,2,1,E,23.46,72.40944444,2596611.276,235398.931,2596884.328,235313.6372,2136970661
544,NULL,3,1,E,23.46,72.43833333,2596558.399,238351.0213,2596831.449,238265.7365,2136970661
545,NULL,4,1,E,23.48666667,72.43833333,2599512.328,238403.6628,2599785.387,238318.3793,2136970661
546,NULL,5,1,E,23.48666667,72.40944444,2599565.251,235452.1677,2599838.312,235366.8752,2136970661
547,NULL,1,1,E,22.56,72.52833333,2496711.835,245865.6289,2496984.564,245780.3279,2136970662
548,NULL,1,2,E,22.53,72.52833333,2493389.136,245810.6377,2493661.855,245725.335,2136970662
549,NULL,1,3,E,22.53,72.54666667,2493358.054,247696.8838,2493630.772,247611.5873,2136970662
550,NULL,1,4,E,22.56,72.54666667,2496680.72,247751.4662,2496953.449,247666.1712,2136970662
551,NULL,1,5,E,22.56,72.52833333,2496711.835,245865.6289,2496984.564,245780.3279,2136970662
552,NULL,1,1,E,22.355,72.76,2473633.512,269355.2221,2473906.156,269269.9883,2136970663
553,NULL,1,2,E,22.32833333,72.76,2470680.413,269311.3125,2470953.048,269226.0774,2136970663
554,NULL,1,3,E,22.32833333,72.80333333,2470614.714,273775.6218,2470887.346,273690.4014,2136970663
555,NULL,1,4,E,22.355,72.80333333,2473567.75,273818.6802,2473840.393,273733.461,2136970663
556,NULL,1,5,E,22.355,72.76,2473633.512,269355.2221,2473906.156,269269.9883,2136970663
557,NULL,1,1,E,23.67222222,72.315,2620298.452,226188.3492,2620571.58,226103.0363,2136970664
558,NULL,1,2,E,23.63583333,72.31472222,2616267.758,226084.1497,2616540.874,225998.835,2136970664
559,NULL,1,3,E,23.63583333,72.33166667,2616235.343,227813.4502,2616508.458,227728.1407,2136970664
560,NULL,1,4,E,23.67222222,72.33166667,2620266.533,227888.8281,2620539.66,227803.5203,2136970664
561,NULL,1,5,E,23.67222222,72.315,2620298.452,226188.3492,2620571.58,226103.0363,2136970664
562,1.1,1,1,I,17.21027777,82.505,1903439.236,660032.6343,1903439.236,660032.6343,2136970660
563,1.2,1,2,I,16.81055555,82.78777777,1859457.739,690512.9226,1859457.739,690512.9226,2136970660
564,1.3,1,3,I,16.80732778,82.79003888,1859102.704,690757.1698,1859102.704,690757.1698,2136970660
565,1.4,1,4,I,16.72638888,82.595,1849968.504,670039.8373,1849968.504,670039.8373,2136970660
566,1.5,1,5,I,16.61194444,82.48555555,1837214.604,658464.1046,1837214.604,658464.1046,2136970660
567,1.6,1,6,I,16.66166666,82.45166666,1842689.916,654808.6016,1842689.916,654808.6016,2136970660
568,1.7,1,7,I,16.64166667,82.41666667,1840450.125,651091.1683,1840450.125,651091.1683,2136970660
569,1.8,1,8,I,16.82444445,82.41666666,1860674.581,650947.1637,1860674.581,650947.1637,2136970660
570,1.9,1,9,I,16.82444444,82.36361111,1860634.867,645293.133,1860634.867,645293.133,2136970660
571,1.1,1,10,I,16.82455063,82.35819508,1860642.648,644715.8821,1860642.648,644715.8821,2136970660
572,1.11,1,11,I,16.82324211,82.35426951,1860494.995,644298.5374,1860494.995,644298.5374,2136970660
573,1.12,1,12,I,16.82422405,82.35381126,1860603.311,644248.9596,1860603.311,644248.9596,2136970660
574,1.13,1,13,I,16.8294753,82.35515331,1861185.336,644387.9987,1861185.336,644387.9987,2136970660
575,1.14,1,14,I,16.8394278,82.35886051,1862289.282,644775.4878,1862289.282,644775.4878,2136970660
637,1.76,1,76,I,17.21027777,82.505,1903439.236,660032.6343,1903439.236,660032.6343,2136970660
638,1.14,1,14,I,16.8394278,82.35886051,1862289.282,644775.4878,1862289.282,644775.4878,2136970660
639,1.15,1,15,I,16.84751419,82.36009624,1863184.942,644901.0099,1863184.942,644901.0099,2136970660
640,1.16,1,16,I,16.84844724,82.35824263,1863286.825,644702.7907,1863286.825,644702.7907,2136970660
641,1.17,1,17,I,16.84720317,82.35453544,1863146.459,644308.7203,1863146.459,644308.7203,2136970660
642,1.18,1,18,I,16.84844724,82.34557637,1863277.593,643353.1594,1863277.593,643353.1594,2136970660
643,1.19,1,19,I,16.85124637,82.33785304,1863581.726,642528.1196,1863581.726,642528.1196,2136970660
644,1.2,1,20,I,16.85031333,82.33198331,1863474.262,641903.3895,1863474.262,641903.3895,2136970660
645,1.21,1,21,I,16.8496913,82.32704038,1863401.892,641377.1755,1863401.892,641377.1755,2136970660
646,1.22,1,22,I,16.84844724,82.32364211,1863261.811,641016.0063,1863261.811,641016.0063,2136970660
647,1.23,1,23,I,16.84533708,82.32178851,1862916.357,640820.8024,1862916.357,640820.8024,2136970660
648,1.24,1,24,I,16.84129389,82.32024384,1862467.886,640659.1994,1862467.886,640659.1994,2136970660
649,1.25,1,25,I,16.83787272,82.31746344,1862087.365,640365.4529,1862087.365,640365.4529,2136970660
650,1.26,1,26,I,16.84533709,82.31684557,1862912.843,640294.1133,1862912.843,640294.1133,2136970660
651,1.27,1,27,I,16.85093536,82.31313838,1863529.65,639894.9832,1863529.65,639894.9832,2136970660
652,1.28,1,28,I,16.85715567,82.30819544,1864214.42,639363.7541,1864214.42,639363.7541,2136970660
653,1.29,1,29,I,16.86244293,82.30170784,1864794.875,638668.6663,1864794.875,638668.6663,2136970660
654,1.3,1,30,I,16.86555308,82.29367558,1865133.381,637810.627,1865133.381,637810.627,2136970660
655,1.31,1,31,I,16.86835222,82.28811478,1865439.224,637216.1505,1865439.224,637216.1505,2136970660
656,1.32,1,32,I,16.87177339,82.28533438,1865815.835,636917.4625,1865815.835,636917.4625,2136970660
657,1.33,1,33,I,16.87177339,82.28224504,1865813.694,636588.3312,1865813.694,636588.3312,2136970660
658,1.34,1,34,I,16.86959628,82.27668424,1865568.964,635997.4549,1865568.964,635997.4549,2136970660
659,1.35,1,35,I,16.86959628,82.27483064,1865567.688,635799.9748,1865567.688,635799.9748,2136970660
660,1.36,1,36,I,16.87643862,82.27081451,1866322.009,635367.2273,1866322.009,635367.2273,2136970660
661,1.37,1,37,I,16.88048181,82.26710731,1866766.834,634969.4092,1866766.834,634969.4092,2136970660
662,1.38,1,38,I,16.8820369,82.26340011,1866936.366,634573.3711,1866936.366,634573.3711,2136970660
663,1.39,1,39,I,16.89105633,82.26031078,1867932.226,634237.8834,1867932.226,634237.8834,2136970660
664,1.4,1,40,I,16.89603259,82.25783931,1868481.148,633971.0942,1868481.148,633971.0942,2136970660
665,1.41,1,41,I,16.89914273,82.25660358,1868824.434,633837.2662,1868824.434,633837.2662,2136970660
666,1.42,1,42,I,16.90100883,82.25104278,1869027.142,633243.6115,1869027.142,633243.6115,2136970660
667,1.43,1,43,I,16.90411899,82.25474998,1869373.78,633636.312,1869373.78,633636.312,2136970660
668,1.44,1,44,I,16.91344944,82.25351424,1870405.32,633498.1125,1870405.32,633498.1125,2136970660
669,1.45,1,45,I,16.9206028,82.25289638,1871196.393,633427.2651,1871196.393,633427.2651,2136970660
670,1.46,1,46,I,16.92946673,82.25351424,1872177.574,633486.8253,1872177.574,633486.8253,2136970660
671,1.47,1,47,I,16.93164384,82.25536784,1872419.722,633682.7044,1872419.722,633682.7044,2136970660
672,1.48,1,48,I,16.93164384,82.26061971,1872423.299,634242.0454,1872423.299,634242.0454,2136970660
673,1.49,1,49,I,16.9328879,82.26803411,1872566.026,635030.817,1872566.026,635030.817,2136970660
674,1.5,1,50,I,16.93475399,82.27297704,1872775.904,635555.9172,1872775.904,635555.9172,2136970660
675,1.51,1,51,I,16.93755313,82.27575744,1873087.54,635850.0262,1873087.54,635850.0262,2136970660
676,1.52,1,52,I,16.94066328,82.27668424,1873432.31,635946.4963,1873432.31,635946.4963,2136970660
677,1.53,1,53,I,16.94408445,82.27328598,1873808.506,635582.1342,1873808.506,635582.1342,2136970660
678,1.54,1,54,I,16.94968273,82.27297704,1874427.727,635545.2209,1874427.727,635545.2209,2136970660
679,1.55,1,55,I,16.96367842,82.27853784,1875980.16,636127.3308,1875980.16,636127.3308,2136970660
680,1.56,1,56,I,16.96398943,82.28595224,1876019.729,636916.6352,1876019.729,636916.6352,2136970660
681,1.57,1,57,I,16.96865466,82.28718798,1876536.789,637044.8395,1876536.789,637044.8395,2136970660
682,1.58,1,58,I,16.96927669,82.28008251,1876600.668,636287.7772,1876600.668,636287.7772,2136970660
683,1.59,1,59,I,16.97300888,82.28008251,1877013.626,636285.0838,1877013.626,636285.0838,2136970660
684,1.6,1,60,I,16.97643005,82.28224504,1877393.675,636512.8777,1877393.675,636512.8777,2136970660
685,1.61,1,61,I,16.97705207,82.28502544,1877464.437,636808.4807,1877464.437,636808.4807,2136970660
686,1.62,1,62,I,16.98233934,82.28286291,1878047.955,636574.3918,1878047.955,636574.3918,2136970660
687,1.63,1,63,I,16.9857605,82.28286291,1878426.5,636571.9156,1878426.5,636571.9156,2136970660
688,1.64,1,64,I,16.9898037,82.28409864,1878874.733,636700.5583,1878874.733,636700.5583,2136970660
689,1.65,1,65,I,16.99353589,82.28657011,1879289.418,636960.9888,1879289.418,636960.9888,2136970660
690,1.66,1,66,I,17.01095275,82.29274878,1881220.896,637606.1114,1881220.896,637606.1114,2136970660
691,1.67,1,67,I,17.02868062,82.30417931,1883190.539,638809.9327,1883190.539,638809.9327,2136970660
692,1.68,1,68,I,17.05029618,82.32055278,1885593.993,640536.7375,1885593.993,640536.7375,2136970660
693,1.69,1,69,I,17.06989015,82.33939771,1887775.736,642527.6956,1887775.736,642527.6956,2136970660
694,1.7,1,70,I,17.09850356,82.36967317,1890964.239,645727.6275,1890964.239,645727.6275,2136970660
695,1.71,1,71,I,17.13769149,82.40859877,1895330.077,649838.4523,1895330.077,649838.4523,2136970660
696,1.72,1,72,I,17.1705036,82.44381717,1898988.42,653558.4386,1898988.42,653558.4386,2136970660
697,1.73,1,73,I,17.20347122,82.4830517,1902668.022,657704.1168,1902668.022,657704.1168,2136970660
698,1.74,1,74,I,17.21591184,82.5006609,1904059.113,659566.3194,1904059.113,659566.3194,2136970660
699,1.75,1,75,I,17.2181,82.49945222,1904300.256,659435.8992,1904300.256,659435.8992,2136970660
700,NULL,1,1,E,32.5,32.9,1088778.741,793571.5235,3595881.523,490769.0019,2136970666
701,NULL,1,2,E,32.15,32.9,1049956.748,794260.17,3557084.331,490732.7938,2136970666
702,NULL,1,3,E,32.15,32.85,1049874.557,789542.071,3557089.805,486017.6919,2136970666
703,NULL,1,4,E,32.2,32.85,1055420.369,789446.6834,3562632.134,486025.4185,2136970666
704,NULL,1,5,E,32.2,32.8,1055340.305,784731.2234,3562639.804,481312.8874,2136970666
705,NULL,1,6,E,32.25,32.8,1060886.09,784638.2873,3568182.183,481323.204,2136970666
706,NULL,1,7,E,32.25,32.7,1060732.42,775212.703,3568204.116,471903.2799,2136970666
707,NULL,1,9,E,32.1,32.7,1044095.571,775475.6398,3551577.055,471856.9197,2136970666
708,NULL,1,10,E,32.1,32.45,1043750.718,751873.8808,3551670.037,448268.2825,2136970666
709,NULL,1,11,E,32.15,32.45,1049296.003,751799.2384,3557212.426,448296.5752,2136970666
710,NULL,1,12,E,32.15,32.4,1049233.553,747081.6057,3557237.608,443581.3744,2136970666
711,NULL,1,13,E,32.2,32.4,1054778.827,747009.4383,3562780.061,443612.2826,2136970666
712,NULL,1,14,E,32.2,32.25,1054604.487,732864.5341,3562868.821,429474.2894,2136970666
713,NULL,1,15,E,32.1,32.25,1043514.274,732993.3059,3551783.809,429397.0701,2136970666
714,NULL,1,16,E,32.1,31.95,1043225.316,704673.5944,3552020.119,401089.5108,2136970666
715,NULL,1,17,E,32.3,31.95,1065404.938,704477.61,3574191.11,401306.0462,2136970666
716,NULL,1,18,E,32.3,31.8,1065289.634,690349.1322,3574339.311,387182.7888,2136970666
717,NULL,1,19,E,32.2,31.8,1054199.93,690431.7633,3563253.483,387058.8748,2136970666
718,NULL,1,20,E,32.2,31.7,1054134.155,681002.574,3563363.084,377632.8546,2136970666
719,NULL,1,21,E,32.5,31.7,1087403.457,680785.07,3596621.616,378036.7112,2136970666
720,NULL,1,22,E,32.5,32.9,1088778.741,793571.5235,3595881.523,490769.0019,2136970666
721,NULL,1,1,I,13.33333333,93.03333333,1473998.518,503609.8272,1473998.518,503609.8272,2136970669
722,NULL,1,2,I,13.33333333,93.16666667,1474004.33,518049.1582,1474004.33,518049.1582,2136970669
723,NULL,1,3,I,12.98333333,93.16666667,1435298.526,518074.7887,1435298.526,518074.7887,2136970669
724,NULL,1,4,I,12.98333333,93.15,1435297.404,516267.3059,1435297.404,516267.3059,2136970669
725,NULL,1,5,I,12.95,93.15,1431611.194,516269.4713,1431611.194,516269.4713,2136970669
726,NULL,1,6,I,12.95,93.13333333,1431610.192,514461.7491,1431610.192,514461.7491,2136970669
727,NULL,1,7,I,12.93333333,93.13333333,1429767.092,514462.7097,1429767.092,514462.7097,2136970669
728,NULL,1,8,I,12.93333333,93.11666667,1429766.209,512654.8686,1429766.209,512654.8686,2136970669
729,NULL,1,9,I,12.88333333,93.11666667,1424236.926,512657.3837,1424236.926,512657.3837,2136970669
730,NULL,1,10,I,12.88333333,93.1,1424236.164,510849.1842,1424236.164,510849.1842,2136970669
731,NULL,1,11,I,12.83333333,93.1,1418706.904,510851.3318,1418706.904,510851.3318,2136970669
732,NULL,1,12,I,12.83333333,93.11666667,1418707.664,512659.8892,1418707.664,512659.8892,2136970669
733,NULL,1,13,I,12.78333333,93.11666667,1413178.422,512662.3852,1413178.422,512662.3852,2136970669
734,NULL,1,14,I,12.78333333,93.13333333,1413179.296,514471.3002,1413179.296,514471.3002,2136970669
735,NULL,1,15,I,12.73333333,93.13333333,1407650.072,514474.1417,1407650.072,514474.1417,2136970669
736,NULL,1,16,I,12.73333333,93.15,1407651.058,516283.413,1407651.058,516283.413,2136970669
737,NULL,1,17,I,12.71666667,93.15,1405807.987,516284.4758,1405807.987,516284.4758,2136970669
738,NULL,1,18,I,12.71666667,93.16666667,1405809.088,518093.8664,1405809.088,518093.8664,2136970669
739,NULL,1,19,I,11.81666667,93.16666667,1306286.534,518155.3736,1306286.534,518155.3736,2136970669
740,NULL,1,20,I,11.81666667,93.15,1306285.507,516339.8322,1306285.507,516339.8322,2136970669
741,NULL,1,21,I,11.8,93.15,1304442.559,516340.8196,1304442.559,516340.8196,2136970669
742,NULL,1,22,I,11.8,93.13333333,1304441.641,514525.1697,1304441.641,514525.1697,2136970669
743,NULL,1,23,I,11.78333333,93.13333333,1302598.696,514526.0461,1302598.696,514526.0461,2136970669
744,NULL,1,24,I,11.78333333,93.11666667,1302597.887,512710.2879,1302597.887,512710.2879,2136970669
745,NULL,1,25,I,11.75,93.11666667,1298912.006,512711.8184,1298912.006,512711.8184,2136970669
746,NULL,1,26,I,11.75,93.1,1298911.307,510895.8425,1298911.307,510895.8425,2136970669
747,NULL,1,27,I,11.7,93.1,1293382.504,510897.8034,1293382.504,510897.8034,2136970669
748,NULL,1,28,I,11.7,93.08333333,1293381.915,509081.5016,1293381.915,509081.5016,2136970669
749,NULL,1,29,I,11.66666667,93.08333333,1289696.059,509082.5872,1289696.059,509082.5872,2136970669
750,NULL,1,30,I,11.66666667,92.83333333,1289700.066,481834.8079,1289700.066,481834.8079,2136970669
751,NULL,1,31,I,12.13333333,92.83333333,1341302.989,481865.7606,1341302.989,481865.7606,2136970669
752,NULL,1,32,I,12.13333333,92.85,1341301.935,483679.1885,1341301.935,483679.1885,2136970669
753,NULL,1,33,I,12.15,92.85,1343144.927,483680.2034,1343144.927,483680.2034,2136970669
754,NULL,1,34,I,12.15,92.83333333,1343145.982,481866.8882,1343145.982,481866.8882,2136970669
755,NULL,1,35,I,12.16666667,92.83333333,1344988.977,481868.0173,1344988.977,481868.0173,2136970669
756,NULL,1,36,I,12.16666667,93,1344983.419,500000,1344983.419,500000,2136970669
757,NULL,1,37,I,12.03333333,93,1330239.575,500000,1330239.575,500000,2136970669
758,NULL,1,38,I,12.03333333,93.11666667,1330242.27,512698.6726,1330242.27,512698.6726,2136970669
759,NULL,1,39,I,12.11666667,93.11666667,1339457.174,512694.7475,1339457.174,512694.7475,2136970669
760,NULL,1,40,I,12.11666667,93.13333333,1339458.005,514508.2856,1339458.005,514508.2856,2136970669
761,NULL,1,41,I,12.15,93.13333333,1343143.984,514506.4827,1343143.984,514506.4827,2136970669
762,NULL,1,42,I,12.15,93.11666667,1343143.151,512693.1699,1343143.151,512693.1699,2136970669
763,NULL,1,43,I,12.28333333,93.11666667,1357887.148,512686.817,1357887.148,512686.817,2136970669
764,NULL,1,44,I,12.28333333,93.05,1357884.904,505437.2045,1357884.904,505437.2045,2136970669
765,NULL,1,45,I,12.26666667,93.05,1356041.9,505437.5464,1356041.9,505437.5464,2136970669
766,NULL,1,46,I,12.26666667,93.03333333,1356041.62,503625.0307,1356041.62,503625.0307,2136970669
767,NULL,1,47,I,12.23333333,93.03333333,1352355.618,503625.4857,1352355.618,503625.4857,2136970669
768,NULL,1,48,I,12.23333333,93.01666667,1352355.451,501812.7428,1352355.451,501812.7428,2136970669
769,NULL,1,49,I,12.2,93.01666667,1348669.458,501812.9697,1348669.458,501812.9697,2136970669
770,NULL,1,50,I,12.2,93,1348669.403,500000,1348669.403,500000,2136970669
771,NULL,1,51,I,13.11666667,93,1450037.507,500000,1450037.507,500000,2136970669
772,NULL,1,52,I,13.11666667,93.05,1450038.044,505419.5248,1450038.044,505419.5248,2136970669
773,NULL,1,53,I,13.21666667,93.05,1461096.814,505417.3266,1461096.814,505417.3266,2136970669
774,NULL,1,54,I,13.21666667,93,1461096.273,500000,1461096.273,500000,2136970669
775,NULL,1,55,I,13.28333333,93,1468468.832,500000,1468468.832,500000,2136970669
776,NULL,1,56,I,13.28333333,93.01666667,1468468.892,501805.2838,1468468.892,501805.2838,2136970669
777,NULL,1,57,I,13.3,93.01666667,1470312.038,501805.1605,1470312.038,501805.1605,2136970669
778,NULL,1,58,I,13.3,93.03333333,1470312.219,503610.3212,1470312.219,503610.3212,2136970669
779,NULL,1,59,I,13.33333333,93.03333333,1473998.518,503609.8272,1473998.518,503609.8272,2136970669
790,NULL,1,1,I,13.16666667,92.33333333,1455662.625,427752.8337,1455662.625,427752.8337,2136970670
791,NULL,1,2,I,13.16666667,92.5,1455620.735,445815.108,1455620.735,445815.108,2136970670
792,NULL,1,3,I,13.33333333,92.5,1474052.764,445851.9757,1474052.764,445851.9757,2136970670
793,NULL,1,4,I,13.33333333,92.83333333,1474004.33,481950.8418,1474004.33,481950.8418,2136970670
794,NULL,1,5,I,13.16666667,92.83333333,1455572.863,481938.5532,1455572.863,481938.5532,2136970670
795,NULL,1,6,I,13.16666667,92.8,1455575.496,478326.2517,1455575.496,478326.2517,2136970670
796,NULL,1,7,I,13.18333333,92.8,1457418.635,478327.7181,1457418.635,478327.7181,2136970670
797,NULL,1,8,I,13.18333333,92.78333333,1457420.133,476521.6872,1457420.133,476521.6872,2136970670
798,NULL,1,9,I,13.16666667,92.78333333,1455576.992,476520.0985,1455576.992,476520.0985,2136970670
799,NULL,1,10,I,13.16666667,92.66666667,1455590.815,463876.9685,1455590.815,463876.9685,2136970670
800,NULL,1,11,I,12.93333333,92.66666667,1429786.866,463843.0705,1429786.866,463843.0705,2136970670
801,NULL,1,12,I,12.93333333,92.65,1429789.279,462035.2042,1429789.279,462035.2042,2136970670
802,NULL,1,13,I,12.88333333,92.65,1424259.912,462027.6586,1424259.912,462027.6586,2136970670
803,NULL,1,14,I,12.88333333,92.63333333,1424262.434,460219.43,1424262.434,460219.43,2136970670
804,NULL,1,15,I,12.83333333,92.63333333,1418733.079,460211.5552,1418733.079,460211.5552,2136970670
805,NULL,1,16,I,12.83333333,92.65,1418730.567,462020.1417,1418730.567,462020.1417,2136970670
806,NULL,1,17,I,12.76666667,92.65,1411358.139,462010.164,1411358.139,462010.164,2136970670
807,NULL,1,18,I,12.76666667,92.66666667,1411355.755,463819.2229,1411355.755,463819.2229,2136970670
808,NULL,1,19,I,12.16666667,92.66666667,1345005.652,463735.8938,1345005.652,463735.8938,2136970670
809,NULL,1,20,I,12.16666667,92.5,1345033.443,445603.4889,1345033.443,445603.4889,2136970670
810,NULL,1,21,I,11.66666667,92.5,1289742.808,445503.8554,1289742.808,445503.8554,2136970670
811,NULL,1,22,I,11.66666667,92.16666667,1289828.3,409171.1977,1289828.3,409171.1977,2136970670
812,NULL,1,23,I,11.68333333,92.16666667,1291671.405,409176.6227,1291671.405,409176.6227,2136970670
813,NULL,1,24,I,11.68333333,92.18333333,1291666.108,410993.2051,1291666.108,410993.2051,2136970670
814,NULL,1,25,I,11.7,92.18333333,1293509.208,410998.5291,1293509.208,410998.5291,2136970670
815,NULL,1,26,I,11.7,92.21666667,1293498.921,414631.4558,1293498.921,414631.4558,2136970670
816,NULL,1,27,I,11.71666667,92.21666667,1295342.01,414636.5696,1295342.01,414636.5696,2136970670
817,NULL,1,28,I,11.71666667,92.25,1295332.138,418269.2519,1295332.138,418269.2519,2136970670
818,NULL,1,29,I,11.75,92.25,1299018.295,418279.0648,1299018.295,418279.0648,2136970670
819,NULL,1,30,I,11.75,92.26666667,1299013.508,420095.1782,1299013.508,420095.1782,2136970670
820,NULL,1,31,I,11.76666667,92.26666667,1300856.583,420099.9856,1300856.583,420099.9856,2136970670
821,NULL,1,32,I,11.76666667,92.28333333,1300851.897,421915.9835,1300851.897,421915.9835,2136970670
822,NULL,1,33,I,11.85,92.28333333,1310067.273,421939.5729,1310067.273,421939.5729,2136970670
823,NULL,1,34,I,11.85,92.26666667,1310071.991,420124.1238,1310071.991,420124.1238,2136970670
824,NULL,1,35,I,11.95,92.26666667,1321130.551,420153.3115,1321130.551,420153.3115,2136970670
825,NULL,1,36,I,11.95,92.28333333,1321125.796,421968.097,1321125.796,421968.097,2136970670
826,NULL,1,37,I,11.98333333,92.28333333,1324811.987,421977.6576,1324811.987,421977.6576,2136970670
827,NULL,1,38,I,11.98333333,92.3,1324807.329,423792.2147,1324807.329,423792.2147,2136970670
828,NULL,1,39,I,12,92.3,1326650.422,423796.8935,1326650.422,423796.8935,2136970670
829,NULL,1,40,I,12,92.31666667,1326645.868,425611.3332,1326645.868,425611.3332,2136970670
830,NULL,1,41,I,12.16666667,92.31666667,1345076.855,425657.3503,1345076.855,425657.3503,2136970670
831,NULL,1,42,I,12.16666667,92.33333333,1345072.353,427470.6617,1345072.353,427470.6617,2136970670
832,NULL,1,43,I,13.16666667,92.33333333,1455662.625,427752.8337,1455662.625,427752.8337,2136970670
838,NULL,1,1,I,9.166666667,76.16666667,1021173.505,1289322.108,1021173.505,1289322.108,2136970673
839,NULL,1,2,I,9.166666667,76.33333333,1021547.489,1307773.595,1021547.489,1307773.595,2136970673
840,NULL,1,3,I,9,76.33333333,1002975.922,1308150.955,1002975.922,1308150.955,2136970673
841,NULL,1,4,I,9,76.5,1003352.016,1326617.854,1003352.016,1326617.854,2136970673
842,NULL,1,5,I,8.683333333,76.5,968052.9263,1327332.229,968052.9263,1327332.229,2136970673
843,NULL,1,6,I,8.683333333,76,966988.204,1271902.379,966988.204,1271902.379,2136970673
844,NULL,1,7,I,8.783333333,76,978123.4622,1271694.763,978123.4622,1271694.763,2136970673
845,NULL,1,8,I,8.783333333,76.08333333,978297.6052,1280926.467,978297.6052,1280926.467,2136970673
846,NULL,1,9,I,8.816666667,76.08333333,982009.9908,1280855.887,982009.9908,1280855.887,2136970673
847,NULL,1,10,I,8.816666667,76.06666667,981974.8647,1279009.589,981974.8647,1279009.589,2136970673
848,NULL,1,11,I,8.85,76.06666667,985687.1182,1278938.914,985687.1182,1278938.914,2136970673
849,NULL,1,12,I,8.85,76.05,985651.9487,1277092.851,985651.9487,1277092.851,2136970673
850,NULL,1,13,I,8.883333333,76.05,989364.0706,1277022.084,989364.0706,1277022.084,2136970673
851,NULL,1,14,I,8.883333333,76.03333333,989328.8584,1275176.255,989328.8584,1275176.255,2136970673
852,NULL,1,15,I,8.9,76.03333333,991184.8541,1275140.859,991184.8541,1275140.859,2136970673
853,NULL,1,16,I,8.9,76.01666667,991149.6636,1273295.18,991149.6636,1273295.18,2136970673
854,NULL,1,17,I,8.933333333,76.01666667,994861.525,1273224.362,994861.525,1273224.362,2136970673
855,NULL,1,18,I,8.933333333,76,994826.2929,1271378.918,994826.2929,1271378.918,2136970673
856,NULL,1,19,I,9.333333333,76,1039366.835,1270510.746,1039366.835,1270510.746,2136970673
857,NULL,1,20,I,9.333333333,75.83333333,1039004.221,1252080.92,1039004.221,1252080.92,2136970673
858,NULL,1,21,I,9.5,75.83333333,1057556.396,1251717.149,1057556.396,1251717.149,2136970673
859,NULL,1,22,I,9.5,76.16666667,1058303.202,1288564.885,1058303.202,1288564.885,2136970673
860,NULL,1,23,I,9.166666667,76.16666667,1021173.505,1289322.108,1021173.505,1289322.108,2136970673
